Cases	Date
7696	2020-06-19
7539	2020-06-18
7472	2020-06-17
7185	2020-06-15
6873	2020-06-14
6806	2020-06-13
6734	2020-06-12
6627	2020-06-11
6228	2020-06-08
6156	2020-06-07
6032	2020-06-06
5617	2020-06-02
5517	2020-06-01
5385	2020-05-31
4683	2020-05-23
4596	2020-05-22
4504	2020-05-20
4390	2020-05-19
4160	2020-05-18
4132	2020-05-17
4049	2020-05-16
4008	2020-05-15
3889	2020-05-14
3785	2020-05-12
3699	2020-05-11
3652	2020-05-10
3460	2020-05-08
3432	2020-05-07
3346	2020-05-06
3322	2020-05-05
3191	2020-05-04
2875	2020-05-03
2832	2020-05-02
2669	2020-04-30
2618	2020-04-29
2592	2020-04-28
2370	2020-04-26
2213	2020-04-25
2144	2020-04-23
1962	2020-04-22
1936	2020-04-21
1903	2020-04-20
1751	2020-04-19
1680	2020-04-18
1597	2020-04-17
1560	2020-04-16
1492	2020-04-14
1457	2020-04-13
1385	2020-04-12
1348	2020-04-11
1256	2020-04-10
1224	2020-04-09
NA	2020-04-08
1075	2020-04-07
1034	2020-04-06
924	2020-04-05
856	2020-04-04
808	2020-04-03
785	2020-04-02
673	2020-04-01
541	2020-03-31
443	2020-03-30
394	2020-03-29
260	2020-03-29
243	2020-03-28
216	2020-03-27
203	2020-03-26
188	2020-03-25
183	2020-03-24
164	2020-03-23
167	2020-03-22
140	2020-03-21
101	2020-03-20
75	2020-03-19
58	2020-03-18
42	2020-03-17
25	2020-03-16
